
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus        Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus     66.39          1   0.001923   0.002896 4.319E-009 6.506E-009
650           2.402     0.9999  9.186E-005   0.003825 1.441E-005 0.0005998
rg60          2.476      1.031    0.01489     0.6012   0.01497    0.6046
633           2.393     0.9964    0.01516     0.6333   0.02658     1.111
634          0.2703     0.9754   0.002035     0.7528  0.003548     1.312
671           2.351      0.979    0.04546      1.933    0.0812     3.453
645            2.42      1.008          0          0         0         0
646           2.416      1.006          0          0         0         0
692           2.351      0.979    0.04546      1.933    0.0812     3.453
675           2.346     0.9769    0.04875      2.078   0.08703     3.709
611           2.274     0.9469          0          0         0         0
652           2.292     0.9541          0          0         0         0
670           2.382     0.9917    0.02541      1.067   0.04338     1.821
632           2.399      0.999     0.0151     0.6295   0.02531     1.055
680           2.351      0.979    0.04546      1.933    0.0812     3.453
684           2.305     0.9595          0          0         0         0
