
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"sourcebus.1"      ,    0.00000,  6.63935E+0004,  6.63953E+0004
"sourcebus.2"      ,    0.00000,  6.63949E+0004,  6.63953E+0004
"sourcebus.3"      ,    0.00000,  6.63920E+0004,  6.63953E+0004
"650.1"            ,    0.00000,  2.40156E+0003,  2.40178E+0003
"650.2"            ,    0.00000,  2.40171E+0003,  2.40178E+0003
"650.3"            ,    0.00000,  2.40161E+0003,  2.40178E+0003
"rg60.1"           ,    0.00000,  2.53636E+0003,  2.40178E+0003
"rg60.2"           ,    0.00000,  2.49157E+0003,  2.40178E+0003
"rg60.3"           ,    0.00000,  2.53640E+0003,  2.40178E+0003
"633.1"            ,    0.00000,  2.42892E+0003,  2.40178E+0003
"633.2"            ,    0.00000,  2.46667E+0003,  2.40178E+0003
"633.3"            ,    0.00000,  2.40549E+0003,  2.40178E+0003
"634.1"            ,    0.00000,  2.73570E+0002,  2.77128E+0002
"634.2"            ,    0.00000,  2.79461E+0002,  2.77128E+0002
"634.3"            ,    0.00000,  2.72266E+0002,  2.77128E+0002
"671.1"            ,    0.00000,  2.36046E+0003,  2.40178E+0003
"671.2"            ,    0.00000,  2.49851E+0003,  2.40178E+0003
"671.3"            ,    0.00000,  2.31745E+0003,  2.40178E+0003
"645.2"            ,    0.00000,  2.44916E+0003,  2.40178E+0003
"646.2"            ,    0.00000,  2.44504E+0003,  2.40178E+0003
"646.3"            ,    0.00000,  2.40237E+0003,  2.40178E+0003
"692.3"            ,    0.00000,  2.31745E+0003,  2.40178E+0003
"692.1"            ,    0.00000,  2.36046E+0003,  2.40178E+0003
"675.1"            ,    0.00000,  2.34479E+0003,  2.40178E+0003
"675.2"            ,    0.00000,  2.50417E+0003,  2.40178E+0003
"675.3"            ,    0.00000,  2.31280E+0003,  2.40178E+0003
"611.3"            ,    0.00000,  2.30773E+0003,  2.40178E+0003
"652.1"            ,    0.00000,  2.34253E+0003,  2.40178E+0003
"670.1"            ,    0.00000,  2.41144E+0003,  2.40178E+0003
"670.2"            ,    0.00000,  2.47832E+0003,  2.40178E+0003
"670.3"            ,    0.00000,  2.37716E+0003,  2.40178E+0003
"632.1"            ,    0.00000,  2.43623E+0003,  2.40178E+0003
"632.2"            ,    0.00000,  2.47129E+0003,  2.40178E+0003
"632.3"            ,    0.00000,  2.41185E+0003,  2.40178E+0003
"680.1"            ,    0.00000,  2.36046E+0003,  2.40178E+0003
"680.2"            ,    0.00000,  2.49851E+0003,  2.40178E+0003
"680.3"            ,    0.00000,  2.31745E+0003,  2.40178E+0003
"645.3"            ,    0.00000,  2.40726E+0003,  2.40178E+0003
"692.2"            ,    0.00000,  2.49851E+0003,  2.40178E+0003
"684.1"            ,    0.00000,  2.35584E+0003,  2.40178E+0003
"684.3"            ,    0.00000,  2.31257E+0003,  2.40178E+0003

Max Error =    0.00000
